Country,Region,Study_midyear,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP,Time_dummy
USA,Massachusetts,1981.5,Spartina alterniflora,Temperate,Evergreen,Wet,10.3,1113.0,1
USA,Massachusetts,1988.5,"Hardwood, Pinus resinosa",Temperate,Deciduous,Dry,8.5,1120.0,2
USA,Massachusetts,1989.5,"Hardwood, Pinus resinosa",Temperate,Deciduous,Dry,8.5,1120.0,3
USA,Massachusetts,1991.0,"Betula papyrifera; Acer rubrum; Quercus velutina; Acer pennsylvanicum, Quercus borealis; Acer rubrum; Betula papyrifera",Temperate,Deciduous,Dry,6.0,1110.6666666666667,4
USA,Massachusetts,1992.5,"Pinus resinosa, Tsuga canadensis, Acer rubum",Temperate,Evergreen,Dry,8.5,1050.0,5
USA,Massachusetts,1993.5,"Tsuga canadensis, Acer rubum, Pinus resinosa",Temperate,Evergreen,Dry,8.5,1050.0,6
USA,Massachusetts,1994.5,"Pinus resinosa, Mixed hardwood, Acer rubum, Tsuga canadensis",Temperate,Evergreen,Dry,7.0,1080.0,7
USA,Massachusetts,1995.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Dry,8.5,1050.0,8
USA,Massachusetts,1995.5,"Quercus spp., Acer rubum, Tsuga canadensis, Mixed hardwood, Acer rubrum-Sphagnum, Pinus resinosa",Temperate,Deciduous,Dry,8.372727272727273,1051.4545454545455,9
USA,Massachusetts,1996.0,"Acer rubrum; Quercus rubra, Quercus rubra; Acer rubrum; Tsuga canadensis; Pinus strobus",Temperate,Deciduous,Dry,8.142857142857142,1067.4285714285713,10
USA,Massachusetts,1996.5,"Acer rubum, Tsuga canadensis, Pinus resinosa",Temperate,Deciduous,Dry,8.5,1050.0,11
USA,Massachusetts,1997.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Wet,8.5,1050.0,12
USA,Massachusetts,1997.5,"Acer rubum, Tsuga canadensis, Pinus resinosa",Temperate,Deciduous,Dry,8.5,1050.0,13
USA,Massachusetts,1998.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Dry,8.5,1050.0,14
USA,Massachusetts,1998.5,"Pinus resinosa, Acer rubum, Tsuga canadensis",Temperate,Evergreen,Dry,8.5,1050.0,15
USA,Massachusetts,1999.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Dry,8.5,1050.0,16
USA,Massachusetts,1999.5,"Acer rubum, Tsuga canadensis, Pinus resinosa",Temperate,Mixed,Dry,8.5,1050.0,17
USA,Massachusetts,2000.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Dry,8.5,1050.0,18
USA,Massachusetts,2000.5,"Pinus resinosa, Tsuga canadensis, Acer rubum",Temperate,Evergreen,Dry,8.5,1050.0,19
USA,Massachusetts,2001.0,"Acer rubrum; Quercus rubra, Pinus resinosa, Hardwood",Temperate,Deciduous,Dry,8.5,1110.0,20
USA,Massachusetts,2001.5,"Tsuga canadensis, Acer rubum, Pinus resinosa",Temperate,Evergreen,Dry,8.5,1050.0,21
USA,Massachusetts,2002.0,Acer rubrum; Quercus rubra,Temperate,Deciduous,Dry,8.5,1050.0,22
USA,Massachusetts,2002.5,"Acer rubum, Tsuga canadensis, Pinus resinosa",Temperate,Mixed,Dry,8.5,1050.0,23
USA,Massachusetts,2003.0,"Quercus rubra, Acer rubrum; Quercus rubra",Temperate,Deciduous,Dry,8.5,1050.0,24
USA,Massachusetts,2003.5,"Pinus resinosa, Tsuga canadensis, Acer rubum",Temperate,Evergreen,Dry,8.5,1050.0,25
USA,Massachusetts,2004.5,"Acer rubum, Tsuga canadensis, Pinus resinosa",Temperate,Deciduous,Dry,8.5,1050.0,26
USA,Massachusetts,2005.5,"Pinus resinosa, Acer rubum, Tsuga canadensis",Temperate,Evergreen,Dry,8.5,1050.0,27
USA,Massachusetts,2006.5,"Pinus resinosa, Acer rubum, Tsuga canadensis",Temperate,Evergreen,Dry,8.5,1050.0,28
USA,Massachusetts,2007.5,"Tsuga canadensis, Acer rubum, Pinus resinosa",Temperate,Evergreen,Dry,8.5,1050.0,29
USA,Massachusetts,2008.5,"Pinus resinosa, Tsuga canadensis, Acer rubum",Temperate,Evergreen,Dry,8.5,1050.0,30
USA,Massachusetts,2009.0,Acer rubrum; Betula lenta; Quercus rubra; Pinus strobus; mix,Temperate,Deciduous,Dry,10.3,1063.0,31
USA,Massachusetts,2009.5,"Pinus resinosa, Acer rubum, Grasses, Tsuga canadensis",Temperate,Evergreen,Dry,8.7,1078.8,32
USA,Massachusetts,2011.5,"Tsuga canadensis, Betula lenta",Temperate,Evergreen,Dry,17.52,1254.0,33
